id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_dia;defeitos_tarde;defeitos_noite;pen_pct
48;nublado;4;1100,0;10;1198,49;3;9;1;50
49;parcialmente_nublado;2;1100,0;10;1626,8899999999999;3;18;1;50
50;nublado;4;1100,0;10;1278,73;1;9;1;50
1;nublado;2;1320,0;12;1959,19;7;22;1;60
2;ceu_aberto;3;1320,0;12;1344,99;9;9;1;60
3;nublado;4;1320,0;12;2023,83;1;34;1;60
4;ceu_aberto;4;1320,0;12;1506,9699999999998;10;18;1;60
5;nublado;2;1320,0;12;2003,0100000000002;8;22;1;60
6;nublado;4;1320,0;12;1968,19;1;18;1;60
7;parcialmente_nublado;3;1320,0;12;2010,71;8;20;1;60
8;parcialmente_nublado;3;1320,0;12;1253,3899999999999;9;9;1;60
9;parcialmente_nublado;4;1320,0;12;1710,4299999999998;1;18;1;60
10;parcialmente_nublado;4;1320,0;12;1445,42;8;10;1;60
11;ceu_aberto;4;1320,0;12;1762,34;9;16;1;60
12;ceu_aberto;6;1320,0;12;1765,8400000000001;9;22;1;60
13;ceu_aberto;3;1320,0;12;2109,2099999999996;10;22;1;60
14;parcialmente_nublado;4;1320,0;12;1663,84;9;9;1;60
15;ceu_aberto;7;1320,0;12;1859,0500000000002;9;22;1;60
16;ceu_aberto;5;1320,0;12;1570,3400000000001;10;16;1;60
17;nublado;4;1320,0;12;1849,5599999999997;1;23;1;60
18;nublado;6;1320,0;12;1882,52;1;22;1;60
19;nublado;3;1320,0;12;1662,8100000000002;7;22;1;60
20;nublado;4;1320,0;12;1895,08;5;11;1;60
21;parcialmente_nublado;3;1320,0;12;1482,96;1;16;1;60
22;nublado;5;1320,0;12;1588,3500000000001;6;16;1;60
23;parcialmente_nublado;5;1320,0;12;2056,9;4;22;1;60
24;ceu_aberto;7;1320,0;12;1617,43;10;16;1;60
25;nublado;5;1320,0;12;1896,9899999999998;7;12;1;60
26;parcialmente_nublado;4;1320,0;12;1864,92;6;35;1;60
27;nublado;2;1320,0;12;2038,6999999999998;7;22;1;60
28;ceu_aberto;4;1320,0;12;1821,7799999999997;14;22;1;60
29;parcialmente_nublado;4;1320,0;12;1775,6799999999998;8;36;1;60
30;ceu_aberto;3;1320,0;12;1785,53;3;22;1;60
31;nublado;4;1320,0;12;1890,6;7;22;1;60
32;nublado;5;1320,0;12;1906,4400000000003;1;22;1;60
33;nublado;7;1320,0;12;2065,4700000000003;7;35;1;60
34;ceu_aberto;3;1320,0;12;1773,5300000000002;10;22;1;60
35;ceu_aberto;3;1320,0;12;1820,0300000000002;11;16;1;60
36;parcialmente_nublado;3;1320,0;12;1599,67;8;13;1;60
37;parcialmente_nublado;5;1320,0;12;1264,1399999999999;8;9;1;60
38;ceu_aberto;5;1320,0;12;1946,48;10;9;1;60
39;parcialmente_nublado;6;1320,0;12;1716,07;9;22;1;60
40;nublado;5;1320,0;12;1874,5299999999997;2;22;1;60
