hour,der,der_type,bus,v_pu_preVoltVar,v_pu_posVoltVar,voltvar_active,iter_count,pnom_kw,q_voltvar_kvar,q/pn(%),soc_pct,bess_state
16,bess_barra848,BESS,848,1.030504,1.028999,True,1,68.86,-0.2159,-0.31,62.16,Idling
16,bess_barra890,BESS,890,0.96363,0.954928,True,1,209.34,8.3024,3.97,100.0,Idling
16,pv_barra860,PV,860,1.029807,1.028302,True,1,208.83,0.0,0.0,,N/A
16,pv_barra840,PV,840,1.029824,1.02832,True,1,216.87,0.0,0.0,,N/A
16,pv_barra844,PV,844,1.029926,1.028421,True,1,209.32,0.0,0.0,,N/A
16,pv_barra848,PV,848,1.030504,1.028999,True,1,227.33,-0.7126,-0.31,,N/A
16,pv_barra890,PV,890,0.96363,0.954928,True,1,199.06,7.8947,3.97,,N/A
17,bess_barra860,BESS,860,1.029639,1.028989,True,1,78.1,0.0,0.0,100.0,Idling
17,bess_barra844,BESS,844,1.029841,1.02919,True,1,215.8,0.0,0.0,100.0,Idling
17,bess_barra840,BESS,840,1.029612,1.028961,True,1,63.29,0.0,0.0,77.9,Idling
17,bess_barra848,BESS,848,1.030365,1.029714,True,1,68.86,-0.1563,-0.23,62.16,Idling
17,bess_barra890,BESS,890,0.975351,0.971866,True,1,209.34,0.0,0.0,100.0,Idling
17,pv_barra860,PV,860,1.029639,1.028989,True,1,208.83,0.0,0.0,,N/A
17,pv_barra840,PV,840,1.029612,1.028961,True,1,216.87,0.0,0.0,,N/A
17,pv_barra844,PV,844,1.029841,1.02919,True,1,209.32,0.0,0.0,,N/A
17,pv_barra848,PV,848,1.030365,1.029714,True,1,227.33,-0.5159,-0.23,,N/A
17,pv_barra890,PV,890,0.975351,0.971866,True,1,199.06,0.0,0.0,,N/A
18,bess_barra860,BESS,860,1.0278,1.0278,False,0,78.1,0.0,0.0,100.0,Idling
18,bess_barra844,BESS,844,1.028046,1.028046,False,0,215.8,0.0,0.0,100.0,Idling
18,bess_barra840,BESS,840,1.027685,1.027685,False,0,63.29,0.0,0.0,77.9,Idling
18,bess_barra848,BESS,848,1.028444,1.028444,False,0,68.86,-0.1563,-0.23,62.16,Idling
18,bess_barra890,BESS,890,0.972636,0.972636,False,0,209.34,0.0,0.0,100.0,Idling
18,pv_barra860,PV,860,1.0278,1.0278,False,0,208.83,0.0,0.0,,N/A
18,pv_barra840,PV,840,1.027685,1.027685,False,0,216.87,0.0,0.0,,N/A
18,pv_barra844,PV,844,1.028046,1.028046,False,0,209.32,0.0,0.0,,N/A
18,pv_barra848,PV,848,1.028444,1.028444,False,0,227.33,-0.5159,-0.23,,N/A
18,pv_barra890,PV,890,0.972636,0.972636,False,0,199.06,0.0,0.0,,N/A
19,bess_barra860,BESS,860,1.028276,1.028276,False,0,78.1,0.0,0.0,44.36,Discharging
19,bess_barra844,BESS,844,1.028614,1.028614,False,0,215.8,0.0,0.0,40.84,Discharging
19,bess_barra840,BESS,840,1.028279,1.028279,False,0,63.29,0.0,0.0,58.2,Discharging
19,bess_barra848,BESS,848,1.029094,1.029094,False,0,68.86,-0.1563,-0.23,46.44,Discharging
19,bess_barra890,BESS,890,1.00744,1.00744,False,0,209.34,0.0,0.0,45.44,Discharging
19,pv_barra860,PV,860,1.028276,1.028276,False,0,208.83,0.0,0.0,,N/A
19,pv_barra840,PV,840,1.028279,1.028279,False,0,216.87,0.0,0.0,,N/A
19,pv_barra844,PV,844,1.028614,1.028614,False,0,209.32,0.0,0.0,,N/A
19,pv_barra848,PV,848,1.029094,1.029094,False,0,227.33,-0.5159,-0.23,,N/A
19,pv_barra890,PV,890,1.00744,1.00744,False,0,199.06,0.0,0.0,,N/A
20,bess_barra860,BESS,860,1.027469,1.027469,False,0,78.1,0.0,0.0,20.0,Idling
20,bess_barra844,BESS,844,1.027811,1.027811,False,0,215.8,0.0,0.0,20.0,Idling
20,bess_barra840,BESS,840,1.027468,1.027468,False,0,63.29,0.0,0.0,38.5,Discharging
